community,county,tier,url (unchanged),fallback shown on site
Crescent Oaks Country Club 2,Pinellas,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crescent-Oaks-Country-Club-2/,https://www.paradiserealtyfla.com/pinellas-county/
Crescent Oaks Country Club Coventry Ph 6,Pinellas,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crescent-Oaks-Country-Club-Coventry-Ph-6/,https://www.paradiserealtyfla.com/pinellas-county/
Crescent Oaks Country Club Kingsbury Ph 3,Pinellas,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crescent-Oaks-Country-Club-Kingsbury-Ph-3/,https://www.paradiserealtyfla.com/pinellas-county/
Crescent Oaks Country Club Regency Ph 2,Pinellas,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crescent-Oaks-Country-Club-Regency-Ph-2/,https://www.paradiserealtyfla.com/pinellas-county/
Crescent Park Phase 2,Orange,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crescent-Park-Phase-2/,https://www.paradiserealtyfla.com/orange-county/
Crescent Place Condo,Hillsborough,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crescent-Place-Condo/,https://www.paradiserealtyfla.com/hillsborough-county/
Crescent Ridge Davie,Broward,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crescent-Ridge-Davie/,https://www.paradiserealtyfla.com/broward-county/
Crescent West Sub,Lake,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crescent-West-Sub/,https://www.paradiserealtyfla.com/lake-county/
Cresswind At Verano,St. Lucie,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cresswind-At-Verano/,https://www.paradiserealtyfla.com/st-lucie-county/
Cresswind Deland Ph 1,Volusia,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cresswind-Deland-Ph-1/,https://www.paradiserealtyfla.com/volusia-county/
Cresswind Palm Beach Sub,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cresswind-Palm-Beach-Sub/,https://www.paradiserealtyfla.com/palm-beach-county/
Crest Lake Sub,Pinellas,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crest-Lake-Sub/,https://www.paradiserealtyfla.com/pinellas-county/
Cresthaven Homes Sec 1,Brevard,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cresthaven-Homes-Sec-1/,https://www.paradiserealtyfla.com/brevard-county/
Cresthaven No 5,Broward,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cresthaven-No-5/,https://www.paradiserealtyfla.com/broward-county/
Cresthaven No 7,Broward,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cresthaven-No-7/,https://www.paradiserealtyfla.com/broward-county/
Cresthaven Townhomes,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cresthaven-Townhomes/,https://www.paradiserealtyfla.com/palm-beach-county/
Cresthaven Villas 10 Condo,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cresthaven-Villas-10-Condo/,https://www.paradiserealtyfla.com/palm-beach-county/
Cresthaven Villas 11 Condo,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cresthaven-Villas-11-Condo/,https://www.paradiserealtyfla.com/palm-beach-county/
Cresthaven Villas 16 Condo,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cresthaven-Villas-16-Condo/,https://www.paradiserealtyfla.com/palm-beach-county/
Cresthaven Villas 2 Condo,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cresthaven-Villas-2-Condo/,https://www.paradiserealtyfla.com/palm-beach-county/
Cresthaven Villas 4 Condo,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cresthaven-Villas-4-Condo/,https://www.paradiserealtyfla.com/palm-beach-county/
Cresthaven Villas Condo,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cresthaven-Villas-Condo/,https://www.paradiserealtyfla.com/palm-beach-county/
Cresthaven Villas Condo 13,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cresthaven-Villas-Condo-13/,https://www.paradiserealtyfla.com/palm-beach-county/
Cresthaven Villas Condo 26,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cresthaven-Villas-Condo-26/,https://www.paradiserealtyfla.com/palm-beach-county/
Cresthaven Villas Condo 27,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cresthaven-Villas-Condo-27/,https://www.paradiserealtyfla.com/palm-beach-county/
Cresthaven Villas Condominiums,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cresthaven-Villas-Condominiums/,https://www.paradiserealtyfla.com/palm-beach-county/
Crestline,Sarasota,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crestline/,https://www.paradiserealtyfla.com/sarasota-county/
Crestridge 1st Add,Pinellas,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crestridge-1st-Add/,https://www.paradiserealtyfla.com/pinellas-county/
Crestridge At Estates At Cherry Lake,Lake,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crestridge-At-Estates-At-Cherry-Lake/,https://www.paradiserealtyfla.com/lake-county/
Crestview Sub,Sumter,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crestview-Sub/,https://www.paradiserealtyfla.com/sumter-county/
Crestview Subd Unit 2,Sumter,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crestview-Subd-Unit-2/,https://www.paradiserealtyfla.com/sumter-county/
Crestwind At Pga Village Verano,St. Lucie,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crestwind-At-Pga-Village-Verano/,https://www.paradiserealtyfla.com/st-lucie-county/
Crestwood 03 Unit 03,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crestwood-03-Unit-03/,https://www.paradiserealtyfla.com/palm-beach-county/
Crestwood Heights,Orange,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crestwood-Heights/,https://www.paradiserealtyfla.com/orange-county/
Crestwood Manor,Volusia,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crestwood-Manor/,https://www.paradiserealtyfla.com/volusia-county/
Crestwood Un 04,Marion,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crestwood-Un-04/,https://www.paradiserealtyfla.com/marion-county/
Crestwood Unit 1 Pl 2,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crestwood-Unit-1-Pl-2/,https://www.paradiserealtyfla.com/palm-beach-county/
Crestwood Unit 3 Pl 2,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crestwood-Unit-3-Pl-2/,https://www.paradiserealtyfla.com/palm-beach-county/
Crews Lake Haven,Polk,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crews-Lake-Haven/,https://www.paradiserealtyfla.com/polk-county/
Crews Lake Manor Ph 02,Polk,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crews-Lake-Manor-Ph-02/,https://www.paradiserealtyfla.com/polk-county/
Crews Lake Trails,Polk,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crews-Lake-Trails/,https://www.paradiserealtyfla.com/polk-county/
Crigler L N Add,Polk,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crigler-L-N-Add/,https://www.paradiserealtyfla.com/polk-county/
Crimson Estates,Pasco,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crimson-Estates/,https://www.paradiserealtyfla.com/pasco-county/
Crimson Harbour Island Marina,Hillsborough,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crimson-Harbour-Island-Marina/,https://www.paradiserealtyfla.com/hillsborough-county/
Cristina Ph 02 Unit 02,Hillsborough,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cristina-Ph-02-Unit-02/,https://www.paradiserealtyfla.com/hillsborough-county/
Cristina Ph 111 Unit 1,Hillsborough,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cristina-Ph-111-Unit-1/,https://www.paradiserealtyfla.com/hillsborough-county/
Cristina Ph I,Hillsborough,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cristina-Ph-I/,https://www.paradiserealtyfla.com/hillsborough-county/
Cristina Ph Iii Unit 3,Hillsborough,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cristina-Ph-Iii-Unit-3/,https://www.paradiserealtyfla.com/hillsborough-county/
Cristina Phase,Hillsborough,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cristina-Phase/,https://www.paradiserealtyfla.com/hillsborough-county/
Criterion Condo,Broward,resale,https://www.paradiserealtyfla.com/listings/subdivision/Criterion-Condo/,https://www.paradiserealtyfla.com/broward-county/
Crofton Springs At Providence,Polk,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crofton-Springs-At-Providence/,https://www.paradiserealtyfla.com/polk-county/
Cromwell West,Broward,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cromwell-West/,https://www.paradiserealtyfla.com/broward-county/
Crooked Lake Park Tr 02,Polk,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crooked-Lake-Park-Tr-02/,https://www.paradiserealtyfla.com/polk-county/
Crooked Palms Subdivision,Manatee,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crooked-Palms-Subdivision/,https://www.paradiserealtyfla.com/manatee-county/
Cross Bayou Estates 2nd Add,Pinellas,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cross-Bayou-Estates-2nd-Add/,https://www.paradiserealtyfla.com/pinellas-county/
Cross Bayou Park,Pinellas,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cross-Bayou-Park/,https://www.paradiserealtyfla.com/pinellas-county/
Cross Creek Lake Estates Plat Two,Indian River,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cross-Creek-Lake-Estates-Plat-Two/,https://www.paradiserealtyfla.com/indian-river-county/
Cross Creek Parcel M Phase 1,Hillsborough,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cross-Creek-Parcel-M-Phase-1/,https://www.paradiserealtyfla.com/hillsborough-county/
Cross Creek Ph 02,Orange,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cross-Creek-Ph-02/,https://www.paradiserealtyfla.com/orange-county/
Cross Creek Ph 03,Volusia,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cross-Creek-Ph-03/,https://www.paradiserealtyfla.com/volusia-county/
Cross Creek Prcl D Ph 1,Hillsborough,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cross-Creek-Prcl-D-Ph-1/,https://www.paradiserealtyfla.com/hillsborough-county/
Cross Creek Prcl G Ph 1,Hillsborough,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cross-Creek-Prcl-G-Ph-1/,https://www.paradiserealtyfla.com/hillsborough-county/
Cross Creek Prcl K Ph 1b,Hillsborough,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cross-Creek-Prcl-K-Ph-1b/,https://www.paradiserealtyfla.com/hillsborough-county/
Cross Creek Prcl K Ph 1c,Hillsborough,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cross-Creek-Prcl-K-Ph-1c/,https://www.paradiserealtyfla.com/hillsborough-county/
Cross Creek Prcl K Ph 1d,Hillsborough,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cross-Creek-Prcl-K-Ph-1d/,https://www.paradiserealtyfla.com/hillsborough-county/
Cross Creek Prcl K Ph 2b,Hillsborough,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cross-Creek-Prcl-K-Ph-2b/,https://www.paradiserealtyfla.com/hillsborough-county/
Cross Fox,Broward,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cross-Fox/,https://www.paradiserealtyfla.com/broward-county/
Cross Tie Ranches,Marion,resale,https://www.paradiserealtyfla.com/listings/subdivision/Cross-Tie-Ranches/,https://www.paradiserealtyfla.com/marion-county/
Crossing At Palm River Lot 5 Block 13,Hillsborough,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crossing-At-Palm-River-Lot-5-Block-13/,https://www.paradiserealtyfla.com/hillsborough-county/
Crossings Of Westlake Lt,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crossings-Of-Westlake-Lt/,https://www.paradiserealtyfla.com/palm-beach-county/
Crossroads At Kelly Park Phase 1a,Orange,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crossroads-At-Kelly-Park-Phase-1a/,https://www.paradiserealtyfla.com/orange-county/
Crossroads Condo,Broward,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crossroads-Condo/,https://www.paradiserealtyfla.com/broward-county/
Crossroads Hill Subdivision,Martin,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crossroads-Hill-Subdivision/,https://www.paradiserealtyfla.com/martin-county/
Crosswind Point Ph I,Manatee,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crosswind-Point-Ph-I/,https://www.paradiserealtyfla.com/manatee-county/
Crosswinds At Jonathans Landing,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crosswinds-At-Jonathans-Landing/,https://www.paradiserealtyfla.com/palm-beach-county/
Croton Park,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Croton-Park/,https://www.paradiserealtyfla.com/palm-beach-county/
Croton Woods Ph 02,Brevard,resale,https://www.paradiserealtyfla.com/listings/subdivision/Croton-Woods-Ph-02/,https://www.paradiserealtyfla.com/brevard-county/
Crown Point,Sarasota,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crown-Point/,https://www.paradiserealtyfla.com/sarasota-county/
Crowns Way South,Marion,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crowns-Way-South/,https://www.paradiserealtyfla.com/marion-county/
Crows 02 Matlacha,Lee,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crows-02-Matlacha/,https://www.paradiserealtyfla.com/lee-county/
Crum D R,Hillsborough,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crum-D-R/,https://www.paradiserealtyfla.com/hillsborough-county/
Crystal Acres Estates,Polk,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crystal-Acres-Estates/,https://www.paradiserealtyfla.com/polk-county/
Crystal Acres Frist Add,Polk,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crystal-Acres-Frist-Add/,https://www.paradiserealtyfla.com/polk-county/
Crystal Bay Club Condo,Broward,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crystal-Bay-Club-Condo/,https://www.paradiserealtyfla.com/broward-county/
Crystal Bay Kingsway,Desoto,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crystal-Bay-Kingsway/,https://www.paradiserealtyfla.com/desoto-county/
Crystal Beach,Pinellas,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crystal-Beach/,https://www.paradiserealtyfla.com/pinellas-county/
Crystal Beach Sub,Manatee,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crystal-Beach-Sub/,https://www.paradiserealtyfla.com/manatee-county/
Crystal Bowl 2nd Add,Seminole,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crystal-Bowl-2nd-Add/,https://www.paradiserealtyfla.com/seminole-county/
Crystal Court Manor,Broward,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crystal-Court-Manor/,https://www.paradiserealtyfla.com/broward-county/
Crystal Court Manor No 6 Condo,Broward,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crystal-Court-Manor-No-6-Condo/,https://www.paradiserealtyfla.com/broward-county/
Crystal Cove Ph 02,Volusia,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crystal-Cove-Ph-02/,https://www.paradiserealtyfla.com/volusia-county/
Crystal Cove Residence,Osceola,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crystal-Cove-Residence/,https://www.paradiserealtyfla.com/osceola-county/
Crystal Cove Sub,Putnam,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crystal-Cove-Sub/,https://www.paradiserealtyfla.com/putnam-county/
Crystal Hills Condo,Broward,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crystal-Hills-Condo/,https://www.paradiserealtyfla.com/broward-county/
Crystal Lake 1021 Condo,Broward,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crystal-Lake-1021-Condo/,https://www.paradiserealtyfla.com/broward-county/
Crystal Lake 1st Sec Veleiros,Broward,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crystal-Lake-1st-Sec-Veleiros/,https://www.paradiserealtyfla.com/broward-county/
Crystal Lake 941,Broward,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crystal-Lake-941/,https://www.paradiserealtyfla.com/broward-county/
Crystal Lake Manor,Orange,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crystal-Lake-Manor/,https://www.paradiserealtyfla.com/orange-county/
Crystal Lake Preserve,Polk,resale,https://www.paradiserealtyfla.com/listings/subdivision/Crystal-Lake-Preserve/,https://www.paradiserealtyfla.com/polk-county/
